dataset,slice,model_family,seed,n_test,accuracy,worst_subgroup_accuracy,worst_subgroup_attr,worst_subgroup_group,dpd_worst,eod_worst,worst_subgroup_error_gap,Q,S,R,demographic_representation_gap,harm_content_density,application
german_credit,german_credit_slice_04_n800,xgboost,44,160,0.81875,0.7058823529411765,age_bin,<=25,0.14430468204053115,0.47058823529411764,0.29411764705882354,0.7536903301692303,0.532716652277866,0.4552142857142857,0.1975,,ML
german_credit,german_credit_slice_04_n800,xgboost,45,160,0.83125,0.8207547169811321,sex,male,0.3571428571428571,0.5172413793103449,0.1792452830188679,0.7536903301692303,0.532716652277866,0.4552142857142857,0.1975,,ML
german_credit,german_credit_slice_04_n800,xgboost,46,160,0.88125,0.85,age_bin,46-65,0.1648351648351648,0.36363636363636365,0.15,0.7536903301692303,0.532716652277866,0.4552142857142857,0.1975,,ML
german_credit,german_credit_slice_05_n900,logreg,42,180,0.7277777777777777,0.6666666666666666,age_bin,<=25,0.17419522326064385,0.41666666666666663,0.17117117117117114,0.7637783171817013,0.5327166522792179,0.4510476190476191,0.17666666666666667,,ML
german_credit,german_credit_slice_05_n900,logreg,43,180,0.7,0.4857142857142857,age_bin,<=25,0.22436974789915964,0.30092592592592593,0.3378151260504201,0.7637783171817013,0.5327166522792179,0.4510476190476191,0.17666666666666667,,ML
german_credit,german_credit_slice_05_n900,logreg,44,180,0.8166666666666667,0.7,age_bin,<=25,0.12797619047619047,0.16666666666666669,0.19473684210526315,0.7637783171817013,0.5327166522792179,0.4510476190476191,0.17666666666666667,,ML
german_credit,german_credit_slice_05_n900,logreg,45,180,0.7388888888888889,0.5,age_bin,65+,0.4390243902439024,0.6190476190476191,0.3148148148148148,0.7637783171817013,0.5327166522792179,0.4510476190476191,0.17666666666666667,,ML
german_credit,german_credit_slice_05_n900,logreg,46,180,0.8055555555555556,0.5,age_bin,65+,0.4444444444444444,0.625,0.39473684210526316,0.7637783171817013,0.5327166522792179,0.4510476190476191,0.17666666666666667,,ML
german_credit,german_credit_slice_05_n900,mlp,42,180,0.7333333333333333,0.6666666666666666,sex,female,0.1562881562881563,0.4204545454545454,0.19819819819819817,0.7637783171817013,0.5327166522792179,0.4510476190476191,0.17666666666666667,,ML
german_credit,german_credit_slice_05_n900,mlp,43,180,0.7722222222222223,0.6285714285714286,age_bin,<=25,0.2857142857142857,0.1503759398496241,0.37142857142857144,0.7637783171817013,0.5327166522792179,0.4510476190476191,0.17666666666666667,,ML
german_credit,german_credit_slice_05_n900,mlp,44,180,0.6944444444444444,0.5,age_bin,<=25,0.052631578947368474,0.09999999999999998,0.2368421052631579,0.7637783171817013,0.5327166522792179,0.4510476190476191,0.17666666666666667,,ML
german_credit,german_credit_slice_05_n900,mlp,45,180,0.7388888888888889,0.5,age_bin,65+,0.19512195121951215,0.2857142857142857,0.3888888888888889,0.7637783171817013,0.5327166522792179,0.4510476190476191,0.17666666666666667,,ML
german_credit,german_credit_slice_05_n900,mlp,46,180,0.8555555555555555,0.6944444444444444,age_bin,<=25,0.3713450292397661,0.3529411764705882,0.3055555555555556,0.7637783171817013,0.5327166522792179,0.4510476190476191,0.17666666666666667,,ML
german_credit,german_credit_slice_05_n900,xgboost,42,180,0.8611111111111112,0.8412698412698413,sex,female,0.16484942886812048,0.29924242424242425,0.047619047619047616,0.7637783171817013,0.5327166522792179,0.4510476190476191,0.17666666666666667,,ML
german_credit,german_credit_slice_05_n900,xgboost,43,180,0.8388888888888889,0.6857142857142857,age_bin,<=25,0.4,0.2781954887218045,0.3142857142857143,0.7637783171817013,0.5327166522792179,0.4510476190476191,0.17666666666666667,,ML
german_credit,german_credit_slice_05_n900,xgboost,44,180,0.8333333333333334,0.7333333333333333,age_bin,<=25,0.22280701754385968,0.16428571428571426,0.16140350877192983,0.7637783171817013,0.5327166522792179,0.4510476190476191,0.17666666666666667,,ML
german_credit,german_credit_slice_05_n900,xgboost,45,180,0.8166666666666667,0.5,age_bin,65+,0.4390243902439024,0.6785714285714286,0.3888888888888889,0.7637783171817013,0.5327166522792179,0.4510476190476191,0.17666666666666667,,ML
german_credit,german_credit_slice_05_n900,xgboost,46,180,0.8555555555555555,0.5,age_bin,65+,0.41666666666666663,0.7,0.42105263157894735,0.7637783171817013,0.5327166522792179,0.4510476190476191,0.17666666666666667,,ML
german_credit,german_credit_slice_06_n1000,logreg,42,200,0.775,0.75,age_bin,46-65,0.31034482758620685,0.6153846153846154,0.04310344827586207,0.7735209145837515,0.5327166522806509,0.4595142857142857,0.219,,ML
german_credit,german_credit_slice_06_n1000,logreg,43,200,0.735,0.5384615384615384,age_bin,<=25,0.17948717948717952,0.4,0.24666242848061032,0.7735209145837515,0.5327166522806509,0.4595142857142857,0.219,,ML
german_credit,german_credit_slice_06_n1000,logreg,44,200,0.785,0.7435897435897436,age_bin,<=25,0.2622950819672131,0.2142857142857143,0.2564102564102564,0.7735209145837515,0.5327166522806509,0.4595142857142857,0.219,,ML
german_credit,german_credit_slice_06_n1000,logreg,45,200,0.745,0.6578947368421053,age_bin,<=25,0.2894736842105263,0.5135135135135135,0.1754385964912281,0.7735209145837515,0.5327166522806509,0.4595142857142857,0.219,,ML
german_credit,german_credit_slice_06_n1000,logreg,46,200,0.79,0.3333333333333333,age_bin,65+,0.2894736842105263,0.6875,0.5350877192982456,0.7735209145837515,0.5327166522806509,0.4595142857142857,0.219,,ML
german_credit,german_credit_slice_06_n1000,mlp,42,200,0.815,0.75,age_bin,65+,0.3793103448275862,0.6923076923076923,0.09375,0.7735209145837515,0.5327166522806509,0.4595142857142857,0.219,,ML
german_credit,german_credit_slice_06_n1000,mlp,43,200,0.76,0.6153846153846154,age_bin,<=25,0.2564102564102564,0.4,0.22245322245322247,0.7735209145837515,0.5327166522806509,0.4595142857142857,0.219,,ML
german_credit,german_credit_slice_06_n1000,mlp,44,200,0.865,0.7435897435897436,age_bin,<=25,0.41025641025641024,0.18290854572713644,0.2564102564102564,0.7735209145837515,0.5327166522806509,0.4595142857142857,0.219,,ML
german_credit,german_credit_slice_06_n1000,mlp,45,200,0.79,0.7317073170731707,sex,female,0.26315789473684215,0.5833333333333333,0.10162601626016263,0.7735209145837515,0.5327166522806509,0.4595142857142857,0.219,,ML
german_credit,german_credit_slice_06_n1000,mlp,46,200,0.775,0.3333333333333333,age_bin,65+,0.1415929203539823,0.4545454545454546,0.5144927536231884,0.7735209145837515,0.5327166522806509,0.4595142857142857,0.219,,ML
german_credit,german_credit_slice_06_n1000,xgboost,42,200,0.85,0.75,age_bin,65+,0.3448275862068966,0.9090909090909091,0.1875,0.7735209145837515,0.5327166522806509,0.4595142857142857,0.219,,ML
german_credit,german_credit_slice_06_n1000,xgboost,43,200,0.825,0.6666666666666666,age_bin,65+,0.2564102564102564,0.6,0.2252252252252252,0.7735209145837515,0.5327166522806509,0.4595142857142857,0.219,,ML
german_credit,german_credit_slice_06_n1000,xgboost,44,200,0.855,0.7435897435897436,age_bin,<=25,0.3589743589743589,0.23214285714285715,0.2564102564102564,0.7735209145837515,0.5327166522806509,0.4595142857142857,0.219,,ML
german_credit,german_credit_slice_06_n1000,xgboost,45,200,0.855,0.7105263157894737,age_bin,<=25,0.17543859649122806,0.4166666666666667,0.2894736842105263,0.7735209145837515,0.5327166522806509,0.4595142857142857,0.219,,ML
german_credit,german_credit_slice_06_n1000,xgboost,46,200,0.855,0.6666666666666666,age_bin,65+,0.18258034466697726,0.25,0.20289855072463767,0.7735209145837515,0.5327166522806509,0.4595142857142857,0.219,,ML
german_credit,german_credit_slice_07_n1000,logreg,42,200,0.775,0.7105263157894737,age_bin,<=25,0.368421052631579,0.6666666666666667,0.11090225563909775,0.7728196158819484,0.5327166522819716,0.45451428571428576,0.19400000000000003,,ML
german_credit,german_credit_slice_07_n1000,logreg,43,200,0.72,0.2,age_bin,65+,0.2568181818181817,0.6428571428571428,0.5657657657657658,0.7728196158819484,0.5327166522819716,0.45451428571428576,0.19400000000000003,,ML
german_credit,german_credit_slice_07_n1000,logreg,44,200,0.74,0.6865671641791045,sex,female,0.3648648648648649,0.7,0.31343283582089554,0.7728196158819484,0.5327166522819716,0.45451428571428576,0.19400000000000003,,ML
german_credit,german_credit_slice_07_n1000,logreg,45,200,0.725,0.6041666666666666,age_bin,<=25,0.375,0.5454545454545454,0.1706081081081081,0.7728196158819484,0.5327166522819716,0.45451428571428576,0.19400000000000003,,ML
german_credit,german_credit_slice_07_n1000,logreg,46,200,0.83,0.7837837837837838,age_bin,<=25,0.2435407252925501,0.3232323232323232,0.06470106470106471,0.7728196158819484,0.5327166522819716,0.45451428571428576,0.19400000000000003,,ML
german_credit,german_credit_slice_07_n1000,mlp,42,200,0.815,0.7105263157894737,age_bin,<=25,0.368421052631579,0.8333333333333334,0.14661654135338348,0.7728196158819484,0.5327166522819716,0.45451428571428576,0.19400000000000003,,ML
german_credit,german_credit_slice_07_n1000,mlp,43,200,0.78,0.2,age_bin,65+,0.16543816543816547,0.6428571428571428,0.625,0.7728196158819484,0.5327166522819716,0.45451428571428576,0.19400000000000003,,ML
german_credit,german_credit_slice_07_n1000,mlp,44,200,0.8,0.7611940298507462,sex,female,0.33783783783783783,0.6,0.23880597014925373,0.7728196158819484,0.5327166522819716,0.45451428571428576,0.19400000000000003,,ML
german_credit,german_credit_slice_07_n1000,mlp,45,200,0.745,0.6041666666666666,age_bin,<=25,0.29166666666666663,0.5454545454545454,0.19763513513513511,0.7728196158819484,0.5327166522819716,0.45451428571428576,0.19400000000000003,,ML
german_credit,german_credit_slice_07_n1000,mlp,46,200,0.85,0.8181818181818182,age_bin,46-65,0.15085158150851585,0.16742081447963802,0.04668304668304668,0.7728196158819484,0.5327166522819716,0.45451428571428576,0.19400000000000003,,ML
german_credit,german_credit_slice_07_n1000,xgboost,42,200,0.845,0.7368421052631579,age_bin,<=25,0.39473684210526316,0.6666666666666667,0.1477732793522267,0.7728196158819484,0.5327166522819716,0.45451428571428576,0.19400000000000003,,ML
german_credit,german_credit_slice_07_n1000,xgboost,43,200,0.85,0.2,age_bin,65+,0.1863636363636364,1.0,0.7318181818181819,0.7728196158819484,0.5327166522819716,0.45451428571428576,0.19400000000000003,,ML
german_credit,german_credit_slice_07_n1000,xgboost,44,200,0.81,0.5,age_bin,65+,0.34042553191489366,0.6176470588235294,0.3508771929824561,0.7728196158819484,0.5327166522819716,0.45451428571428576,0.19400000000000003,,ML
german_credit,german_credit_slice_07_n1000,xgboost,45,200,0.825,0.3333333333333333,age_bin,65+,0.19481981981981977,0.6521739130434783,0.5315315315315314,0.7728196158819484,0.5327166522819716,0.45451428571428576,0.19400000000000003,,ML
german_credit,german_credit_slice_07_n1000,xgboost,46,200,0.91,0.8378378378378378,age_bin,<=25,0.3056133056133056,0.17948717948717946,0.10155610155610156,0.7728196158819484,0.5327166522819716,0.45451428571428576,0.19400000000000003,,ML
